Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
56.90454983711243,0.337,0.464,2.463,25.998,2.375,27.605,2.204,31.001,1.657
57.51120901107788,0.342,0.455,2.463,25.998,2.375,27.605,2.204,31.001,1.662
58.11789011955261,0.342,0.455,2.458,26.087,2.375,27.605,2.204,31.001,1.662
58.72456407546997,0.342,0.455,2.458,26.087,2.37,27.696,2.199,31.095,1.657
59.33124399185181,0.342,0.455,2.458,26.087,2.37,27.696,2.199,31.095,1.652
59.93799614906311,0.342,0.455,2.458,26.087,2.37,27.696,2.199,31.095,1.657
60.54458999633789,0.342,0.459,2.454,26.177,2.366,27.787,2.195,31.189,1.667
61.151468992233276,0.342,0.455,2.454,26.177,2.366,27.787,2.195,31.189,1.657
61.75806212425232,0.342,0.45,2.454,26.177,2.361,27.878,2.195,31.189,1.657
62.36497211456299,0.342,0.45,2.454,26.177,2.361,27.878,2.19,31.283,1.657
62.97137093544006,0.342,0.459,2.449,26.267,2.361,27.878,2.19,31.283,1.652
63.57816290855408,0.342,0.455,2.449,26.267,2.361,27.878,2.185,31.377,1.657
64.18482995033264,0.342,0.445,2.449,26.267,2.361,27.878,2.185,31.377,1.652
64.7916579246521,0.337,0.459,2.444,26.357,2.356,27.969,2.185,31.377,1.657
65.39830493927002,0.337,0.459,2.444,26.357,2.356,27.969,2.185,31.377,1.662
66.00494384765625,0.342,0.455,2.444,26.357,2.351,28.06,2.185,31.377,1.657
66.61155009269714,0.342,0.459,2.444,26.357,2.351,28.06,2.18,31.471,1.657
67.21836018562317,0.342,0.455,2.439,26.447,2.351,28.06,2.18,31.471,1.657
67.82502508163452,0.337,0.459,2.439,26.447,2.351,28.06,2.18,31.471,1.657
68.43187403678894,0.342,0.464,2.439,26.447,2.346,28.151,2.18,31.471,1.652
69.03834509849548,0.342,0.44,2.434,26.537,2.341,28.242,2.175,31.565,1.647
69.64516401290894,0.342,0.455,2.434,26.537,2.341,28.242,2.175,31.565,1.657
70.25175499916077,0.342,0.45,2.434,26.537,2.341,28.242,2.175,31.565,1.652
70.85842299461365,0.337,0.464,2.429,26.627,2.341,28.242,2.17,31.659,1.652
71.46524095535278,0.332,0.469,2.429,26.627,2.341,28.242,2.17,31.659,1.652
72.07181119918823,0.337,0.455,2.429,26.627,2.336,28.334,2.17,31.659,1.647
72.67854690551758,0.342,0.459,2.429,26.627,2.336,28.334,2.165,31.753,1.652
73.28526496887207,0.337,0.455,2.424,26.717,2.331,28.425,2.165,31.753,1.652
73.89179182052612,0.337,0.459,2.424,26.717,2.331,28.425,2.16,31.848,1.647
74.49862599372864,0.342,0.455,2.424,26.717,2.331,28.425,2.16,31.848,1.652
75.10529208183289,0.337,0.45,2.419,26.807,2.326,28.516,2.16,31.848,1.652
75.71211695671082,0.337,0.459,2.419,26.807,2.326,28.516,2.16,31.848,1.652
76.3186628818512,0.337,0.464,2.414,26.897,2.326,28.516,2.16,31.848,1.647
76.92547106742859,0.337,0.464,2.419,26.807,2.326,28.516,2.155,31.942,1.652
77.53206706047058,0.342,0.455,2.414,26.897,2.322,28.608,2.155,31.942,1.647
78.13878607749939,0.337,0.459,2.414,26.897,2.322,28.608,2.155,31.942,1.637
78.74550199508667,0.342,0.459,2.414,26.897,2.317,28.699,2.155,31.942,1.652
79.35214900970459,0.337,0.459,2.41,26.988,2.317,28.699,2.151,32.037,1.642
79.95882606506348,0.337,0.455,2.41,26.988,2.317,28.699,2.151,32.037,1.647
80.56553196907043,0.337,0.45,2.41,26.988,2.312,28.791,2.151,32.037,1.657
81.17217206954956,0.337,0.455,2.405,27.078,2.312,28.791,2.151,32.037,1.642
81.77886199951172,0.337,0.459,2.405,27.078,2.312,28.791,2.146,32.132,1.652
82.38552188873291,0.337,0.459,2.405,27.078,2.307,28.883,2.146,32.132,1.647
82.99247097969055,0.332,0.464,2.4,27.168,2.312,28.791,2.146,32.132,1.637
83.59900093078613,0.337,0.459,2.405,27.078,2.307,28.883,2.146,32.132,1.642
84.20587706565857,0.337,0.45,2.4,27.168,2.307,28.883,2.141,32.227,1.652
84.81262493133545,0.337,0.459,2.4,27.168,2.302,28.974,2.141,32.227,1.652
85.41917014122009,0.337,0.459,2.4,27.168,2.302,28.974,2.141,32.227,1.647
86.02591800689697,0.332,0.464,2.395,27.259,2.302,28.974,2.141,32.227,1.652
86.63256812095642,0.337,0.459,2.395,27.259,2.302,28.974,2.141,32.227,1.647
87.23929500579834,0.337,0.459,2.395,27.259,2.302,28.974,2.141,32.227,1.657
87.8459939956665,0.337,0.455,2.395,27.259,2.297,29.066,2.136,32.322,1.642
88.45279312133789,0.337,0.464,2.39,27.349,2.297,29.066,2.136,32.322,1.647
89.059011220932,0.332,0.464,2.39,27.349,2.297,29.066,2.136,32.322,1.642
89.66593480110168,0.327,0.469,2.385,27.44,2.292,29.158,2.131,32.417,1.647
90.27256917953491,0.332,0.464,2.385,27.44,2.292,29.158,2.131,32.417,1.637
90.87934803962708,0.332,0.455,2.385,27.44,2.292,29.158,2.131,32.417,1.647
