Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
114.57708096504211,0.684,1.002,2.028,34.278,1.848,37.967,1.525,45.406,3.407
115.18381595611572,0.684,1.007,2.028,34.278,1.843,38.07,1.52,45.525,3.407
115.79057121276855,0.684,1.007,2.023,34.376,1.838,38.174,1.52,45.525,3.407
116.39713501930237,0.674,1.012,2.019,34.474,1.838,38.174,1.52,45.525,3.412
117.00382494926453,0.679,1.002,2.014,34.572,1.833,38.277,1.515,45.643,3.402
117.6105580329895,0.679,0.997,2.014,34.572,1.833,38.277,1.515,45.643,3.412
118.21725916862488,0.674,1.017,2.009,34.669,1.828,38.381,1.515,45.643,3.402
118.82395887374878,0.684,1.002,2.009,34.669,1.828,38.381,1.51,45.762,3.397
119.4306321144104,0.679,1.007,2.004,34.768,1.828,38.381,1.505,45.881,3.397
120.03728008270264,0.679,1.007,2.004,34.768,1.823,38.485,1.505,45.881,3.397
120.64386200904846,0.679,1.007,1.999,34.866,1.818,38.589,1.505,45.881,3.402
121.25060391426086,0.679,1.007,1.999,34.866,1.818,38.589,1.505,45.881,3.412
121.85732388496399,0.674,1.012,1.994,34.964,1.818,38.589,1.5,46.0,3.402
122.46401000022888,0.674,1.017,1.994,34.964,1.813,38.693,1.5,46.0,3.426
123.07071709632874,0.67,1.017,1.994,34.964,1.813,38.693,1.5,46.0,3.402
123.67740392684937,0.674,1.012,1.989,35.063,1.808,38.797,1.496,46.12,3.407
124.28405785560608,0.674,1.017,1.984,35.161,1.808,38.797,1.496,46.12,3.402
124.89068102836609,0.674,1.007,1.984,35.161,1.808,38.797,1.491,46.24,3.402
125.49738597869873,0.674,1.007,1.979,35.26,1.804,38.902,1.491,46.24,3.402
126.10391092300415,0.679,1.007,1.975,35.359,1.804,38.902,1.491,46.24,3.402
126.71081495285034,0.679,1.012,1.975,35.359,1.799,39.007,1.486,46.36,3.402
127.31755185127258,0.679,1.012,1.975,35.359,1.799,39.007,1.486,46.36,3.407
127.92416501045227,0.679,1.012,1.975,35.359,1.794,39.112,1.486,46.36,3.402
128.53086185455322,0.67,1.022,1.97,35.458,1.794,39.112,1.486,46.36,3.402
