Temps (s),Echelon (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C)
68.97460174560547,0.494,1.779,39.444,2.16,31.673,2.331,28.597
69.23999428749084,0.494,1.779,39.444,2.16,31.673,2.331,28.597
69.50536036491394,0.494,1.779,39.444,2.155,31.767,2.326,28.688
69.76882266998291,0.494,1.774,39.55,2.155,31.767,2.326,28.688
70.0351173877716,0.494,1.774,39.55,2.155,31.767,2.326,28.688
70.2997498512268,0.494,1.774,39.55,2.155,31.767,2.322,28.78
70.56600022315979,0.494,1.769,39.656,2.151,31.862,2.322,28.78
70.82965135574341,0.494,1.774,39.55,2.151,31.862,2.322,28.78
71.09528970718384,0.494,1.769,39.656,2.151,31.862,2.317,28.871
71.3605694770813,0.494,1.769,39.656,2.146,31.957,2.317,28.871
71.62613797187805,0.494,1.764,39.762,2.146,31.957,2.317,28.871
71.8911521434784,0.494,1.764,39.762,2.146,31.957,2.317,28.871
72.15659356117249,0.494,1.76,39.868,2.141,32.051,2.312,28.963
72.42207264900208,0.494,1.76,39.868,2.141,32.051,2.312,28.963
72.68706917762756,0.494,1.76,39.868,2.141,32.051,2.312,28.963
72.95099568367004,0.494,1.755,39.975,2.136,32.146,2.307,29.055
73.21752214431763,0.494,1.755,39.975,2.136,32.146,2.307,29.055
73.48220109939575,0.494,1.755,39.975,2.136,32.146,2.302,29.147
73.74722504615784,0.494,1.75,40.082,2.131,32.241,2.302,29.147
74.01151013374329,0.494,1.75,40.082,2.131,32.241,2.302,29.147
74.27689957618713,0.494,1.75,40.082,2.131,32.241,2.297,29.239
74.54247665405273,0.494,1.75,40.082,2.126,32.336,2.297,29.239
74.80784559249878,0.494,1.745,40.188,2.126,32.336,2.297,29.239
75.0732364654541,0.494,1.75,40.082,2.126,32.336,2.292,29.331
75.33845138549805,0.494,1.745,40.188,2.121,32.431,2.292,29.331
75.60344552993774,0.494,1.745,40.188,2.121,32.431,2.287,29.423
75.86857318878174,0.494,1.745,40.188,2.121,32.431,2.292,29.331
76.1340479850769,0.494,1.745,40.188,2.116,32.527,2.287,29.423
76.39852404594421,0.494,1.74,40.296,2.116,32.527,2.287,29.423
76.66292524337769,0.494,1.74,40.296,2.111,32.622,2.283,29.515
76.92840194702148,0.494,1.74,40.296,2.111,32.622,2.283,29.515
77.19451832771301,0.494,1.735,40.403,2.111,32.622,2.283,29.515
77.45955801010132,0.494,1.735,40.403,2.111,32.622,2.283,29.515
77.72502636909485,0.494,1.735,40.403,2.107,32.718,2.278,29.607
77.99032831192017,0.494,1.735,40.403,2.107,32.718,2.278,29.607
78.25485181808472,0.494,1.73,40.51,2.107,32.718,2.278,29.607
78.52032995223999,0.494,1.73,40.51,2.107,32.718,2.273,29.7
78.78528714179993,0.494,1.73,40.51,2.102,32.813,2.273,29.7
79.05066585540771,0.489,1.73,40.51,2.102,32.813,2.273,29.7
79.31592607498169,0.494,1.73,40.51,2.097,32.909,2.273,29.7
79.57981395721436,0.494,1.725,40.618,2.097,32.909,2.268,29.792
79.84473633766174,0.494,1.725,40.618,2.097,32.909,2.268,29.792
80.11124658584595,0.494,1.725,40.618,2.092,33.005,2.268,29.792
80.37623858451843,0.494,1.72,40.726,2.092,33.005,2.263,29.885
80.6412992477417,0.494,1.72,40.726,2.092,33.005,2.263,29.885
80.90608024597168,0.489,1.72,40.726,2.092,33.005,2.263,29.885
81.17203211784363,0.494,1.72,40.726,2.087,33.101,2.258,29.977
81.4371919631958,0.494,1.72,40.726,2.087,33.101,2.258,29.977
81.70136380195618,0.494,1.716,40.834,2.082,33.197,2.258,29.977
81.96695971488953,0.494,1.716,40.834,2.082,33.197,2.258,29.977
82.23224592208862,0.489,1.716,40.834,2.082,33.197,2.253,30.07
82.49648523330688,0.494,1.716,40.834,2.082,33.197,2.253,30.07
82.76242232322693,0.489,1.711,40.942,2.077,33.293,2.253,30.07
83.02727580070496,0.494,1.711,40.942,2.077,33.293,2.253,30.07
83.29316759109497,0.494,1.711,40.942,2.077,33.293,2.248,30.163
83.55824375152588,0.489,1.711,40.942,2.072,33.39,2.248,30.163
83.82317781448364,0.489,1.706,41.051,2.067,33.486,2.243,30.255
84.08852219581604,0.489,1.706,41.051,2.067,33.486,2.243,30.255
84.35336494445801,0.489,1.706,41.051,2.067,33.486,2.243,30.255
84.6177122592926,0.494,1.706,41.051,2.067,33.486,2.239,30.348
84.88422632217407,0.494,1.706,41.051,2.067,33.486,2.239,30.348
85.14838910102844,0.489,1.706,41.051,2.063,33.583,2.239,30.348
85.41347861289978,0.494,1.701,41.16,2.063,33.583,2.234,30.441
85.67956018447876,0.494,1.701,41.16,2.063,33.583,2.239,30.348
85.94476890563965,0.489,1.701,41.16,2.058,33.679,2.234,30.441
